MaxTemp,Rainfall,Evaporation,Humidity,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,RainToday,RainTomorrow
29.5,6.4,1.8,64.5,1012.9,1008.3,2,7,1,1
22,11,4.4,77,996.5,996.8,8,3,1,1
20.4,17.4,7.8,54,1009.5,1009.1,1,7,1,0
24.4,0,6.2,56,1012.8,1009.7,6,4,0,1
21.7,3.4,8.2,59.5,1020.4,1019.1,8,3,1,0
26.3,0,5.2,49,1023.2,1018,1,1,0,0
26.7,0,7.2,66,1017.3,1014.3,7,7,0,1
28.3,14.4,8.8,58.5,1016.8,1013.4,1,5,1,0
31.6,0,6.6,47.5,1017.1,1014.2,0,2,0,0
35,0,9.6,36.5,1017.4,1015,1,1,0,0
33.5,0,11.4,32,1019.2,1015.6,0,1,0,0
34.2,0,8.8,35,1015.8,1011.6,7,6,0,0
35,0,7.6,28.5,1012.6,1008.7,0,1,0,0
23.4,0,12.6,62,1016.8,1016.3,8,7,0,0
25.3,0,6.2,50.5,1016.2,1013,6,7,0,0
27.5,0,7.4,54.5,1011.8,1007.4,7,2,0,0
34.1,0,6.6,55.5,1006.6,1003.3,1,1,0,0
33.9,0,9,48,1012.3,1009.5,1,1,0,0
30.3,0,10,60.5,1015.7,1013.4,7,1,0,0
29.9,0,6.6,59.5,1018.5,1015.9,8,1,0,0
34.2,0,6.6,44.5,1017.8,1013.3,1,1,0,0
35.8,0,9.4,40,1011.8,1006.5,0,1,0,0
35.7,0,13.8,44.5,1007.6,1003,7,2,0,1
33.8,2,9,50,1004,1001.8,2,3,1,0
22.8,0,12.4,63.5,1012.3,1012.3,8,6,0,0
33.8,0,5.2,48,1014.2,1009,7,1,0,0
33.2,0,10.4,60,1008.5,1006.1,6,7,0,1
25.1,4.8,6.4,52,1016.8,1015,1,1,1,0
20.4,0,9.6,59,1017.5,1015.8,8,8,0,1
19.6,18.8,5,90,1008.7,1006,8,8,1,1
24.7,12.2,1.4,75.5,1004.9,1004,7,8,1,0
19.9,0.8,5.6,65.5,1011.4,1012.1,8,7,0,0
22.5,0,4.4,50.5,1018.7,1016.8,1,2,0,0
24.4,0,5.8,49,1021.6,1019.2,1,4,0,0
27.8,0,6.4,46.5,1021.3,1018.1,3,6,0,0
25.7,0,6.8,49.5,1020.1,1016.9,7,7,0,0
28.8,0,7.4,49,1016.5,1012.4,1,5,0,0
31.3,0,6.6,49.5,1013.1,1009.5,1,4,0,0
33.2,0,9.4,39,1013.9,1012,0,1,0,0
33.9,0,10.4,47,1017.4,1014.6,1,1,0,0
34.9,0,9.2,48.5,1018,1013.7,1,6,0,1
27.8,5.2,10.2,57.5,1014.6,1012.8,7,8,1,1
23.8,2.2,5.4,61,1018.9,1017.1,8,7,1,0
28.8,0,5.8,57.5,1018.2,1014.5,7,2,0,0
29.6,0,5.8,52.5,1016.7,1012.8,6,7,0,1
22.6,1.8,8,84,1014.4,1011.5,8,8,1,1
22.8,9,2.8,79.5,1010,1007.8,8,8,1,0
27.4,1,2.8,59,1002.1,997.5,4,7,0,0
24.2,0,6.8,76,999.4,998.9,7,7,0,1
19.9,16.2,5.4,66.5,1007.6,1005,7,7,1,0
20.9,0,4,58,1007.7,1006.8,6,6,0,0
23.1,0,5.8,51.5,1013.6,1011.4,1,7,0,0
26,0,5,54,1016.1,1011.7,1,5,0,1
24.2,4.4,6.6,77.5,1010.8,1006.8,8,5,1,1
18.2,11,3.2,77,1010,1011,7,8,1,0
24.2,0.2,2.8,50,1017.5,1015.1,1,1,0,0
25.2,0,5.6,50.5,1020.2,1016.7,1,1,0,0
26.1,0,7.2,55.5,1022.9,1020,1,1,0,0
24.1,0,7.4,55,1025.2,1021.4,7,1,0,0
25.8,0,6.8,57,1021.3,1017.4,5,4,0,0
27.1,0,5.6,53.5,1017.6,1012.8,1,2,0,0
28.9,0,7.2,54.5,1012.2,1009.1,2,7,0,1
24.8,1.8,7.8,72,1011.8,1008.4,7,7,1,1
28.6,6.6,3.2,60,1008.3,1002.3,5,5,1,0
25.1,0,7.8,44.5,1007.4,1005.4,1,1,0,0
23.8,0,10.4,44,1007.9,1007.2,0,1,0,0
25.9,0,5.2,52.5,1016.4,1014.3,6,2,0,0
28.2,0,5,50.5,1017.6,1014.4,3,6,0,0
27.6,0,7.8,49.5,1013.6,1009.1,2,6,0,0
17.3,0,7.6,76,1010,1009.9,7,7,0,1
18.4,10.4,5.2,46,1015.5,1014.5,5,1,1,0
21.8,0,6.2,45.5,1020.8,1019.3,1,1,0,0
24.4,0,6.2,51,1026.3,1023.2,0,2,0,0
27.3,0,5.6,53,1025.4,1020.4,1,1,0,0
28.2,0,6,50,1021.1,1018.2,1,7,0,0
27.6,0,6,52,1025.5,1022.2,1,1,0,0
31.8,0,6,50,1023.9,1019.3,2,3,0,0
29.2,0,8.4,45,1021.6,1017.7,0,7,0,1
27.4,3,4.8,59,1024.7,1020.7,1,7,1,0
27.8,0,5,49.5,1024.8,1023.1,0,1,0,0
31.7,0,6.6,51,1024.9,1020.4,1,1,0,0
34.7,0,6.4,34,1022.8,1019.3,0,3,0,0
31.7,0.2,7.8,51.5,1021.6,1017.6,2,5,0,0
33.1,0,8.6,54.5,1020.9,1017.7,7,1,0,0
33.8,0,7.2,36,1022.6,1019.1,0,1,0,0
35.2,0,6.4,31,1022.5,1019.3,5,2,0,0
32.3,0,9.4,30.5,1024.3,1020.7,5,2,0,0
30.2,0,7.8,47.5,1024.3,1020.6,1,0,0,0
29.9,0,5.8,53,1022.7,1018.8,0,1,0,0
26.2,0,9,53.5,1022.1,1018.7,1,4,0,0
29.3,0,5.2,55.5,1013.8,1009.4,7,7,0,0
14.8,0,8.2,69.5,1017.4,1019.3,7,8,0,0
19.6,0,2.8,67.5,1023.6,1021.8,7,8,0,0
24.9,0,2.4,60,1023.2,1019.3,7,6,0,0
22.4,0.6,4.8,78.5,1018.7,1015.4,8,7,0,1
17.4,6.4,2.8,93.5,1010.2,1006.5,8,8,1,1
20.2,19.8,2.6,63,1007.9,1008.4,5,4,1,0
18.3,0,4.6,58,1014.8,1012.6,1,2,0,0
18.2,0,3.6,56.5,1017.4,1015,1,3,0,0
18.5,0,3.4,60,1015.1,1011.3,6,6,0,0
18.9,0,6.4,47,1011.2,1009.3,3,2,0,0
18.8,0,6.4,48,1012.7,1013,2,5,0,0
21.8,0,6,53,1023.9,1021.2,0,1,0,0
23.3,0,3.6,58,1018,1010.5,1,8,0,1
14.3,2.6,9.6,54,1010.3,1012.7,1,3,1,0
18.9,0,4.8,55,1021.2,1019.1,0,1,0,0
21.4,0,3.2,51.5,1025.2,1022.3,0,1,0,0
21.8,0,2.8,52.5,1028,1024.1,1,5,0,0
20.5,0,3.8,57,1027.8,1024,1,5,0,0
18.9,0,4.2,56.5,1028.2,1025.4,5,4,0,0
19.5,0,2.8,59,1025.7,1021.8,6,4,0,0
22.9,0,2.2,55,1023.1,1019.2,1,1,0,0
23.4,0,3.4,50.5,1021,1016.9,0,1,0,0
24.1,0,4.6,53.5,1019.2,1015.8,7,3,0,1
19.8,2,3.2,76,1018.4,1013.8,5,2,1,1
18,5.2,3.8,55,1020.8,1019.6,1,1,1,0
20.7,0,3.2,51,1027.2,1023.9,1,2,0,0
19.3,0,3.4,52,1027.9,1024.4,1,1,0,0
21,0,4.6,60.5,1027.2,1023.3,7,2,0,0
19.7,0,3.2,50.5,1027.3,1024.1,3,6,0,0
16.1,0,3,60,1029.5,1027.4,6,7,0,0
18.7,0,4.4,65.5,1028.2,1024.2,4,7,0,0
20.6,0,2.8,55.5,1024.8,1021,1,2,0,0
18.9,0,3.8,64,1025.8,1023.5,7,6,0,0
19,0,4,58.5,1025.5,1022.2,6,5,0,0
21.2,0,2,68.5,1023.7,1019.8,4,4,0,0
20.9,0,2,63,1019.9,1014.3,7,6,0,0
21.7,0.2,2.8,66.5,1011.9,1006.7,7,7,0,0
18.7,0,5.8,59.5,1003.2,997.7,6,6,0,1
11.3,7.2,4.4,67.5,1006.3,1008.1,3,6,1,0
13.8,0.2,1.8,54.5,1020.6,1019.6,0,1,0,0
14.8,0,1.4,60,1024.2,1020.5,1,7,0,0
13.8,0,2.8,60.5,1020.6,1018.5,7,7,0,0
17.3,0,1.6,59.5,1020,1017.3,1,2,0,0
17.1,0,4,58,1020.8,1017.4,1,1,0,0
16.7,0,2.4,59,1022.7,1018.5,5,2,0,0
19,0,3.4,58.5,1019.8,1015.8,6,5,0,0
16.8,0,2.8,61.5,1018,1013.8,7,7,0,0
17.6,0,3.4,58,1015.8,1013.5,1,1,0,0
18.1,0,4.4,62,1021.4,1018.9,1,1,0,0
21,0,2.2,57,1023.2,1020.3,0,1,0,0
20.9,0,2.4,60.5,1023.2,1020,1,1,0,0
17.4,0,2,66,1024.4,1021.5,7,7,0,0
19.2,0,2.2,60,1024.2,1020.3,7,1,0,0
19,0,2.2,60.5,1024.7,1021.4,1,2,0,0
18.6,0,2,64,1024.4,1021,1,3,0,0
